x,y,z,cell_type,volume
7.5,-50.0,-7.5,MCF7_core,3829.5797660958992
7.5,-50.0,7.5,MCF7_core,3462.9750775862944
7.5,-30.0,-7.5,MCF7_core,2032.5393884066168
7.5,-30.0,7.5,MCF7_core,1347.1552378921062
7.5,-10.0,-7.5,MCF7_core,2417.1025636586264
7.5,-10.0,7.5,MCF7_core,1966.2397559622666
7.5,10.0,-7.5,MCF7_core,3572.5492577896293
7.5,10.0,7.5,MCF7_core,1535.3852960294369
7.5,30.0,-7.5,MCF7_core,2270.075766215158
7.5,30.0,7.5,MCF7_core,2722.8231708814415
7.5,50.0,-7.5,MCF7_core,4099.617010651182
7.5,50.0,7.5,MCF7_core,2389.1713312945712
22.5,-50.0,-7.5,MCF7_core,1444.3360926858645
22.5,-50.0,7.5,MCF7_core,3453.8586647857983
22.5,-30.0,-7.5,MCF7_core,2871.160872104071
22.5,-30.0,7.5,MCF7_core,1311.4967861084756
22.5,-10.0,-7.5,MCF7_core,4106.542176054144
22.5,-10.0,7.5,MCF7_core,4416.213861304442
22.5,10.0,-7.5,MCF7_core,3684.5590371783405
22.5,10.0,7.5,MCF7_core,4074.403196673743
22.5,30.0,-7.5,MCF7_core,1564.3636644001067
22.5,30.0,7.5,MCF7_core,3343.740646273294
22.5,50.0,-7.5,MCF7_core,4060.294573326699
22.5,50.0,7.5,MCF7_core,3149.355074535088
37.5,-50.0,-7.5,MCF7_core,2251.190684976414
37.5,-50.0,7.5,MCF7_core,676.3529819682574
37.5,-30.0,-7.5,MCF7_core,2090.201747956952
37.5,-30.0,7.5,MCF7_core,2839.43859000703
37.5,-10.0,-7.5,MCF7_core,4120.384263518041
37.5,-10.0,7.5,MCF7_core,4347.617678074463
37.5,10.0,-7.5,MCF7_core,2271.82605062821
37.5,10.0,7.5,MCF7_core,3918.1410317662
37.5,30.0,-7.5,MCF7_core,1353.8352975998296
37.5,30.0,7.5,MCF7_core,3662.5569809698122
37.5,50.0,-7.5,MCF7_core,2575.7753084021315
37.5,50.0,7.5,MCF7_core,308.9340003554076
52.5,-50.0,-7.5,MCF7_core,3300.803929415485
52.5,-50.0,7.5,MCF7_core,1940.3320543224547
52.5,-30.0,-7.5,MCF7_core,3746.577734113079
52.5,-30.0,7.5,MCF7_core,3082.2359425828013
52.5,-10.0,-7.5,MCF7_core,254.24532532931303
52.5,-10.0,7.5,MCF7_core,2342.0714382396836
52.5,10.0,-7.5,MCF7_core,3927.8622475342927
52.5,10.0,7.5,MCF7_core,1283.5333358260623
52.5,30.0,-7.5,MCF7_core,1628.2014571763846
52.5,30.0,7.5,MCF7_core,3940.0239298942743
52.5,50.0,-7.5,MCF7_core,1059.4862545518354
52.5,50.0,7.5,MCF7_core,2655.5320380835246
67.5,-50.0,-7.5,MCF7_core,1261.0838141428105
67.5,-50.0,7.5,MCF7_core,4351.577153180149
67.5,-30.0,-7.5,MCF7_core,3654.7203138527934
67.5,-30.0,7.5,MCF7_core,2148.7013889725313
67.5,-10.0,-7.5,MCF7_core,590.4741814990397
67.5,-10.0,7.5,MCF7_core,1606.3675128906598
67.5,10.0,-7.5,MCF7_core,2402.9667361587294
67.5,10.0,7.5,MCF7_core,4204.42884795724
67.5,30.0,-7.5,MCF7_core,711.7834551786934
67.5,30.0,7.5,MCF7_core,2586.6628699747193
67.5,50.0,-7.5,MCF7_core,3245.079065553639
67.5,50.0,7.5,MCF7_core,2570.4399758502514
82.5,-50.0,-7.5,MCF7_core,3702.576606982607
82.5,-50.0,7.5,MCF7_core,2540.0944368327796
82.5,-30.0,-7.5,MCF7_core,4335.882667219721
82.5,-30.0,7.5,MCF7_core,2806.786425430672
82.5,-10.0,-7.5,MCF7_core,2740.7788286910154
82.5,-10.0,7.5,MCF7_core,2136.0644736029335
82.5,10.0,-7.5,MCF7_core,2777.5370357400543
82.5,10.0,7.5,MCF7_core,1881.303878694886
82.5,30.0,-7.5,MCF7_core,2690.0451698562947
82.5,30.0,7.5,MCF7_core,1480.3390242872135
82.5,50.0,-7.5,MCF7_core,1052.3813548047592
82.5,50.0,7.5,MCF7_core,1041.0958538979025
97.5,-50.0,-7.5,MCF7_core,2847.435728006919
97.5,-50.0,7.5,MCF7_core,3033.5044774382286
97.5,-30.0,-7.5,MCF7_core,2269.7960999213724
97.5,-30.0,7.5,MCF7_core,630.2373265970781
97.5,-10.0,-7.5,MCF7_core,3461.489108353299
97.5,-10.0,7.5,MCF7_core,3966.7310182144006
97.5,10.0,-7.5,MCF7_core,4164.35083140904
97.5,10.0,7.5,MCF7_core,3821.2628540697456
97.5,30.0,-7.5,MCF7_core,4057.4743999331354
97.5,30.0,7.5,MCF7_core,4163.084928349585
97.5,50.0,-7.5,MCF7_core,2541.4355617947613
97.5,50.0,7.5,MCF7_core,1908.4169937847628
112.5,-50.0,-7.5,MCF7_core,3239.660558702712
112.5,-50.0,7.5,MCF7_core,1418.0335475391569
112.5,-30.0,-7.5,MCF7_core,3690.5433983317034
112.5,-30.0,7.5,MCF7_core,3851.0505951971595
112.5,-10.0,-7.5,MCF7_core,4044.1862140956177
112.5,-10.0,7.5,MCF7_core,2750.0390579354116
112.5,10.0,-7.5,MCF7_core,4276.213109529544
112.5,10.0,7.5,MCF7_core,2707.1909065592204
112.5,30.0,-7.5,MCF7_core,2159.697459494772
112.5,30.0,7.5,MCF7_core,3048.708356283205
112.5,50.0,-7.5,MCF7_core,4473.3339872912775
112.5,50.0,7.5,MCF7_core,4137.0473758536245
127.5,-50.0,-7.5,MCF7_core,3612.9396916953247
127.5,-50.0,7.5,MCF7_core,598.6449953561457
127.5,-30.0,-7.5,MCF7_core,2847.477808751612
127.5,-30.0,7.5,MCF7_core,2311.8261275088735
127.5,-10.0,-7.5,MCF7_core,2921.0986938765627
127.5,-10.0,7.5,MCF7_core,3832.3599053320904
127.5,10.0,-7.5,MCF7_core,1279.8224304178582
127.5,10.0,7.5,MCF7_core,3350.7679983090366
127.5,30.0,-7.5,MCF7_core,746.0259763454745
127.5,30.0,7.5,MCF7_core,1184.1085842122195
127.5,50.0,-7.5,MCF7_core,3618.2728834585
127.5,50.0,7.5,MCF7_core,1659.2867654614954
142.5,-50.0,-7.5,MCF7_core,3708.7083466834097
142.5,-50.0,7.5,MCF7_core,675.9557642122047
142.5,-30.0,-7.5,MCF7_core,869.9307212903859
142.5,-30.0,7.5,MCF7_core,3207.3839802828147
142.5,-10.0,-7.5,MCF7_core,441.18340093662323
142.5,-10.0,7.5,MCF7_core,2682.4772227787103
142.5,10.0,-7.5,MCF7_core,4107.685899120988
142.5,10.0,7.5,MCF7_core,2514.2925458318177
142.5,30.0,-7.5,MCF7_core,3134.9618042374555
142.5,30.0,7.5,MCF7_core,362.58907000881766
142.5,50.0,-7.5,MCF7_core,2941.672618042601
142.5,50.0,7.5,MCF7_core,2820.1536235943377
157.5,-50.0,-7.5,MCF7_core,2691.3253090641265
157.5,-50.0,7.5,MCF7_core,1908.0496536469216
157.5,-30.0,-7.5,MCF7_core,1818.7193190331282
157.5,-30.0,7.5,MCF7_core,4406.59449541429
157.5,-10.0,-7.5,MCF7_core,403.6949610651775
157.5,-10.0,7.5,MCF7_core,341.1344744833311
157.5,10.0,-7.5,MCF7_core,4323.980421959904
157.5,10.0,7.5,MCF7_core,1033.6440371368592
